a (initial radius),b (Spiral growth rate),thc (Spiral shape thickness),th_0 (Spiral's start angle),th_f (Spiral's end angle),th_m (Metal thickness),r (Substrate radius),hs (Substrate height),er (Substrate dielectric constant),f (freq) GHz,gain,s11,VSWR
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.746373,2.889411,-2.61379,6.696243
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.747624,2.893252,-2.62807,6.660437
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.748874,2.897108,-2.65081,6.604156
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.750125,2.900978,-2.68162,6.529465
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.751376,2.904864,-2.7192,6.440699
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.752626,2.908763,-2.76051,6.345848
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.753877,2.912676,-2.80208,6.253321
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.755128,2.916603,-2.84021,6.170775
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.756378,2.920541,-2.87161,6.104475
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.757629,2.924492,-2.89455,6.056985
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.758879,2.928455,-2.90832,6.028801
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.76013,2.932429,-2.91448,6.016325
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.761381,2.936414,-2.91543,6.014418
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.762631,2.94041,-2.91483,6.015623
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.763882,2.944415,-2.91639,6.012459
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.765133,2.94843,-2.92325,5.998615
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.766383,2.952454,-2.9378,5.969431
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.767634,2.956486,-2.96056,5.924439
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.768884,2.960527,-2.99103,5.865266
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.770135,2.964575,-3.02674,5.797406
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.771386,2.968631,-3.0646,5.727257
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.772636,2.972693,-3.10076,5.661794
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.773887,2.976762,-3.13158,5.607239
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.775138,2.980836,-3.15453,5.567333
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.776388,2.984916,-3.16801,5.544126
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.777639,2.989001,-3.17274,5.536078
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.778889,2.993091,-3.17039,5.540079
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.78014,2.997185,-3.16439,5.550355
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.781391,3.001282,-3.15841,5.560644
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.782641,3.005383,-3.15607,5.564666
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.783892,3.009486,-3.1604,5.557187
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.785143,3.013592,-3.17278,5.535996
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.786393,3.017699,-3.19357,5.50075
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.787644,3.021808,-3.22102,5.45492
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.788894,3.025918,-3.2526,5.403199
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.790145,3.030028,-3.28453,5.351841
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.791396,3.034139,-3.31306,5.30686
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.792646,3.038249,-3.33498,5.272792
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.793897,3.042358,-3.34796,5.252822
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.795148,3.046466,-3.35177,5.247029
0.75,1.5,1.5,0,7*pi,0.035,40,1.524,3.38,1.796398,3.050572,-3.34725,5.253932
